"1","6.787","Duomo","45.4637 9.187","NIL 1"
"2","11.060","Brera","45.4743 9.1882","NIL 2"
"3","152","Giardini P.ta Venezia","45.4746 9.2002","NIL 3"
"4","9.937","Guastalla","45.4632 9.2019","NIL 4"
"5","3.951","Porta Vigentina - Porta Lodovica","45.451 9.1924","NIL 5"
"6","16.015","Porta Ticinese - Conca del Naviglio","45.4505 9.1813","NIL 6"
"7","12.984","Magenta - S.Vittore","45.4646 9.1704","NIL 7"
"8","0","Parco Sempione","45.4741 9.1763","NIL 8"
"9","7.314","Porta Garibaldi - Porta Nuova","45.4836 9.1906","NIL 9"
"10","11.035","Stazione Centrale - Ponte Seveso","45.4876 9.2058","NIL 10"
"11","16.746","Isola","45.4909 9.1896","NIL 11"
"12","15.748","Maciachini - Maggiolina","45.4983 9.1967","NIL 12"
"13","9.144","Greco - Segnano","45.5035 9.2095","NIL 13"
"14","8.532","Niguarda - Ca’ Granda - Prato Centenaro - Q.re Fulvio Testi","45.5167 9.1961","NIL 14"
"15","5.669","Bicocca","45.519 9.2128","NIL 15"
"16","26.477","Gorla - Precotto","45.5127 9.2256","NIL 16"
"17","7.486","Adriano","45.5141 9.2484","NIL 17"
"18","3.922","Cimiano - Rottole - Q.re Feltre","45.4982 9.252","NIL 18"
"19","18.418","Padova - Turro - Crescenzago","45.5016 9.2342","NIL 19"
"20","24.361","Loreto - Casoretto - NoLo","45.4909 9.2222","NIL 20"
"21","21.534","Buenos Aires - Porta Venezia - Porta Monforte","45.477 9.2145","NIL 21"
"22","16.184","Citta' studi","45.4773 9.2308","NIL 22"
"23","4.086","Lambrate - Ortica","45.4793 9.2497","NIL 23"
"24","969","Parco Forlanini - Cavriano","45.467 9.2558","NIL 24"
"25","18.233","Corsica","45.464 9.2311","NIL 25"
"26","19.043","XXII Marzo","45.4618 9.2143","NIL 26"
"27","16.106","Pta Romana","45.4504 9.2051","NIL 27"
"28","19.417","Umbria - Molise - Calvairate","45.4522 9.2189","NIL 28"
"29","2.917","Ortomercato","45.4534 9.2303","NIL 29"
"30","5.134","Taliedo - Morsenchio - Q.re Forlanini","45.4491 9.2474","NIL 30"
"31","2.307","Monlue' - Ponte Lambro","45.4494 9.2612","NIL 31"
"32","1.199","Triulzo Superiore","45.4279 9.2492","NIL 32"
"33","9.763","Rogoredo - Santa Giulia","45.4367 9.2435","NIL 33"
"34","3.475","Chiaravalle","45.4168 9.2396","NIL 34"
"35","10.143","Lodi - Corvetto","45.4365 9.2284","NIL 35"
"36","6.927","Scalo Romana","45.439 9.2091","NIL 36"
"37","9.371","Morivione","45.441 9.1938","NIL 37"
"38","8.781","Vigentino - Q.re Fatima","45.4295 9.2018","NIL 38"
"39","799","Quintosole","45.4034 9.2048","NIL 39"
"40","4.029","Ronchetto delle Rane","45.4011 9.182","NIL 40"
"41","5.767","Gratosoglio - Q.re Missaglia - Q.re Terrazze","45.4117 9.1712","NIL 41"
"42","8.932","Stadera - Chiesa Rossa - Q.re Torretta - Conca Fallata","45.4299 9.1784","NIL 42"
"43","14.513","Tibaldi","45.4403 9.1805","NIL 43"
"44","11.104","Porta Ticinese - Conchetta","45.4485 9.1692","NIL 44"
"45","8.537","Moncucco - San Cristoforo","45.442 9.1588","NIL 45"
"46","8.246","Barona","45.4324 9.1562","NIL 46"
"47","608","Cantalupa","45.4217 9.1572","NIL 47"
"48","6.047","Ronchetto sul Naviglio - Q.re Lodovico il Moro","45.4385 9.1373","NIL 48"
"49","15.568","Giambellino","45.4471 9.1369","NIL 49"
"50","15.149","Porta Genova","45.454 9.1619","NIL 50"
"51","20.409","Porta Magenta","45.4621 9.1561","NIL 51"
"52","16.541","Bande Nere","45.4599 9.1391","NIL 52"
"53","5.767","Lorenteggio","45.4514 9.1193","NIL 53"
"54","6.861","Muggiano","45.4514 9.0716","NIL 54"
"55","8.821","Baggio - Q.re degli Olmi - Q.re Valsesia","45.4596 9.0872","NIL 55"
"56","7.855","Forze Armate","45.4625 9.1138","NIL 56"
"57","26.084","San Siro","45.4714 9.1384","NIL 57"
"58","16.283","De Angeli - Monte Rosa","45.4749 9.1484","NIL 58"
"59","4.940","Tre Torri","45.4769 9.1557","NIL 59"
"60","3.762","Stadio - Ippodromi","45.4796 9.1238","NIL 60"
"61","10.089","Quarto Cagnino","45.4737 9.1081","NIL 61"
"62","2.913","Quinto Romano","45.4794 9.0875","NIL 62"
"63","1.819","Figino","45.4914 9.0744","NIL 63"
"64","8.184","Trenno","45.4928 9.1017","NIL 64"
"65","8.555","Q.re Gallaratese - Q.re San Leonardo - Lampugnano","45.4966 9.1117","NIL 65"
"66","3.882","QT 8","45.4873 9.1363","NIL 66"
"67","9.891","Portello","45.4845 9.1539","NIL 67"
"68","13.686","Pagano","45.4736 9.1629","NIL 68"
"69","16.819","Sarpi","45.4834 9.1725","NIL 69"
"70","17.714","Ghisolfa","45.491 9.163","NIL 70"
"71","13.910","Villapizzone - Cagnola - Boldinasco","45.4974 9.1435","NIL 71"
"72","3.468","Maggiore - Musocco - Certosa","45.507 9.1146","NIL 72"
"73","553","Cascina Merlata","45.5203 9.1027","NIL 73"
"74","363","Roserio","45.5202 9.1227","NIL 74"
"75","307","Stephenson","45.5122 9.1214","NIL 75"
"76","11.847","Quarto Oggiaro - Vialba - Musocco","45.5136 9.1377","NIL 76"
"77","7.237","Bovisa","45.5038 9.16","NIL 77"
"78","3.742","Farini","45.494 9.1746","NIL 78"
"79","17.592","Dergano","45.5021 9.178","NIL 79"
"80","12.542","Affori","45.5139 9.1713","NIL 80"
"81","4.787","Bovisasca","45.5174 9.1567","NIL 81"
"82","10.936","Comasina","45.5264 9.16","NIL 82"
"83","7.606","Bruzzano","45.5292 9.1721","NIL 83"
"84","74","Parco Nord","45.5235 9.1842","NIL 84"
"85","23","Parco delle Abbazie","45.4115 9.2053","NIL 85"
"86","90","Parco dei Navigli","45.4233 9.142","NIL 86"
"87","38","Assiano","45.4494 9.0616","NIL 87"
"88","88","Parco Bosco in citta'","45.4847 9.0858","NIL 88"
