ID_Colonnina;Tipo_Evento;Inizio;Fine;Durata_Min;Modello_Auto;SOC_Iniziale_%;Energia_kWh;Ricavo_Euro;Assunzione_Prob_Arrivo;Assunzione_Prob_Idle
MI-DUOMO-01;CHARGING;2025-01-01 08:30;2025-01-01 11:15;165;Fiat 500e;12;30.25;19.66;0.12;0.3
MI-DUOMO-01;CHARGING;2025-01-01 14:00;2025-01-01 16:45;165;Tesla Model Y;52;30.25;19.66;0.12;0.3
MI-DUOMO-01;IDLE;2025-01-01 16:45;2025-01-01 17:30;45;Tesla Model Y;N/A;0.0;4.5;0.12;0.3
MI-DUOMO-01;CHARGING;2025-01-01 18:15;2025-01-01 18:45;30;Smart EQ;23;11.0;7.15;0.12;0.3
MI-DUOMO-01;CHARGING;2025-01-01 19:15;2025-01-01 21:45;150;Fiat 500e;21;27.5;17.88;0.12;0.3
MI-DUOMO-01;IDLE;2025-01-01 21:45;2025-01-01 22:30;45;Fiat 500e;N/A;0.0;4.5;0.12;0.3
MI-DUOMO-01;CHARGING;2025-01-02 00:30;2025-01-02 01:00;30;Smart EQ;50;11.0;7.15;0.12;0.3
MI-DUOMO-01;IDLE;2025-01-02 01:00;2025-01-02 02:00;60;Smart EQ;N/A;0.0;6.0;0.12;0.3
MI-DUOMO-01;CHARGING;2025-01-02 02:15;2025-01-02 04:00;105;Fiat 500e;43;19.25;12.51;0.12;0.3
MI-DUOMO-01;CHARGING;2025-01-02 05:15;2025-01-02 10:15;300;Tesla Model Y;17;55.0;35.75;0.12;0.3
MI-DUOMO-01;CHARGING;2025-01-02 14:00;2025-01-02 16:45;165;Fiat 500e;10;30.25;19.66;0.12;0.3
MI-DUOMO-01;CHARGING;2025-01-02 18:30;2025-01-02 19:00;30;Smart EQ;37;11.0;7.15;0.12;0.3
MI-DUOMO-01;CHARGING;2025-01-02 19:45;2025-01-02 20:30;45;Smart EQ;12;16.5;10.73;0.12;0.3
MI-DUOMO-01;CHARGING;2025-01-02 20:45;2025-01-03 01:00;255;Tesla Model Y;29;46.75;30.39;0.12;0.3
MI-DUOMO-01;CHARGING;2025-01-03 01:15;2025-01-03 05:45;270;Tesla Model Y;26;49.5;32.18;0.12;0.3
MI-DUOMO-01;CHARGING;2025-01-03 07:15;2025-01-03 08:00;45;Jeep Compass PHEV;56;5.55;3.61;0.12;0.3
MI-DUOMO-01;CHARGING;2025-01-03 09:00;2025-01-03 10:00;60;Jeep Compass PHEV;40;7.4;4.81;0.12;0.3
MI-DUOMO-01;CHARGING;2025-01-03 10:15;2025-01-03 13:00;165;Fiat 500e;13;30.25;19.66;0.12;0.3
MI-DUOMO-01;CHARGING;2025-01-03 13:45;2025-01-03 14:30;45;Jeep Compass PHEV;46;5.55;3.61;0.12;0.3
MI-DUOMO-01;CHARGING;2025-01-03 20:45;2025-01-03 22:30;105;Fiat 500e;39;19.25;12.51;0.12;0.3
MI-DUOMO-01;CHARGING;2025-01-04 00:00;2025-01-04 02:15;135;Fiat 500e;28;24.75;16.09;0.12;0.3
MI-DUOMO-01;CHARGING;2025-01-04 04:00;2025-01-04 05:45;105;Fiat 500e;38;19.25;12.51;0.12;0.3
MI-DUOMO-01;CHARGING;2025-01-04 10:30;2025-01-04 11:45;75;Jeep Compass PHEV;15;9.25;6.01;0.12;0.3
MI-DUOMO-01;IDLE;2025-01-04 11:45;2025-01-04 12:30;45;Jeep Compass PHEV;N/A;0.0;4.5;0.12;0.3
MI-DUOMO-01;CHARGING;2025-01-04 12:30;2025-01-04 15:30;180;Tesla Model Y;47;33.0;21.45;0.12;0.3
MI-DUOMO-01;IDLE;2025-01-04 15:30;2025-01-04 16:30;60;Tesla Model Y;N/A;0.0;6.0;0.12;0.3
MI-DUOMO-01;CHARGING;2025-01-04 18:30;2025-01-04 20:45;135;Fiat 500e;28;24.75;16.09;0.12;0.3
MI-DUOMO-01;IDLE;2025-01-04 20:45;2025-01-04 21:15;30;Fiat 500e;N/A;0.0;3.0;0.12;0.3
MI-DUOMO-01;CHARGING;2025-01-04 23:30;2025-01-05 01:00;90;Fiat 500e;52;16.5;10.72;0.12;0.3
MI-DUOMO-01;IDLE;2025-01-05 01:00;2025-01-05 01:45;45;Fiat 500e;N/A;0.0;4.5;0.12;0.3
MI-DUOMO-01;CHARGING;2025-01-05 01:45;2025-01-05 04:00;135;Tesla Model Y;57;24.75;16.09;0.12;0.3
MI-DUOMO-01;CHARGING;2025-01-05 04:00;2025-01-05 04:30;30;Smart EQ;28;11.0;7.15;0.12;0.3
MI-DUOMO-01;IDLE;2025-01-05 04:30;2025-01-05 05:15;45;Smart EQ;N/A;0.0;4.5;0.12;0.3
MI-DUOMO-01;CHARGING;2025-01-05 05:15;2025-01-05 10:00;285;Tesla Model Y;22;52.25;33.96;0.12;0.3
MI-DUOMO-01;CHARGING;2025-01-05 13:45;2025-01-05 18:30;285;Tesla Model Y;21;52.25;33.96;0.12;0.3
